Feature1,Feature2,Class
5.496714153011233,5.357787360348283,0.0
4.861735698828816,5.560784526368234,0.0
5.6476885381006925,6.083051243175277,0.0
6.523029856408026,6.053802052034903,0.0
4.765846625276664,3.622330632042909,0.0
4.765863043050819,4.062174960084877,0.0
6.5792128155073915,5.51503526720866,0.0
5.7674347291529084,5.513785950912209,0.0
4.530525614065048,5.515047686306048,0.0
5.542560043585965,8.85273149065472,0.0
4.536582307187538,5.570890510693167,0.0
4.5342702464297435,6.135565640180599,0.0
5.241962271566035,5.954001763493203,0.0
3.086719755342202,5.651391251305798,0.0
3.2750821674869672,4.684730755359654,0.0
4.437712470759028,5.758969220493268,0.0
3.9871688796655764,4.227174785462428,0.0
5.314247332595274,4.763181393259991,0.0
4.091975924478789,4.514636452170897,0.0
3.5876962986647083,5.081874139386323,0.0
6.465648768921554,7.314658566673509,0.0
4.774223699513464,3.132734807408252,0.0
5.067528204687924,5.686260190374513,0.0
3.575251813786543,3.3872841288103483,0.0
4.455617275474817,4.528068134210566,0.0
5.110922589709866,6.088950596967366,0.0
3.8490064225776974,5.064280019095463,0.0
5.3756980183456715,3.922255222070694,0.0
4.399361310081195,4.284696290740031,0.0
4.708306250206723,5.679597748934675,0.0
4.398293387770603,4.2696333682828636,0.0
6.852278184508938,5.216458589581975,0.0
4.986502775262066,5.045571839903814,0.0
3.9422890710440996,4.348399652394183,0.0
5.822544912103189,7.143944089325325,0.0
3.7791563500289778,5.633919022318011,0.0
5.208863595004756,2.974857413342393,0.0
3.040329876120224,5.186454314769428,0.0
3.6718139511015693,4.338213535231612,0.0
5.1968612358691235,5.852433334796224,0.0
5.738466579995411,4.2074792615673,0.0
5.17136828118997,4.885263558533101,0.0
4.88435171761176,5.504987278980457,0.0
4.698896304410711,5.865755194170122,0.0
3.5214780096325726,3.7997035929442236,0.0
4.280155791605291,4.665498764159052,0.0
4.539361229040212,4.5250546888390435,0.0
6.057122226218915,4.346670767426288,0.0
5.343618289568461,6.765454240281096,0.0
3.236959844637266,5.404981710960955,0.0
5.3240839693947954,3.7391160456649546,0.0
4.6149177195836835,5.917861947054776,0.0
4.323077999694041,7.122156197012633,0.0
5.611676288840868,6.032465260551147,0.0
6.030999522495951,3.4806300340459866,0.0
5.931280119116199,4.5157659271337485,0.0
4.160782476777362,6.2669111491866225,0.0
4.690787624148785,4.292330534381219,0.0
5.331263431403564,5.443819428146228,0.0
5.975545127122359,5.774634053429336,0.0
4.52082576215471,4.073069528421917,0.0
4.8143410233361825,4.9404746439382,0.0
3.893665025993972,1.7587326599309274,0.0
3.803793375919329,3.9756123586657104,0.0
5.812525822394198,4.74743184860684,0.0
6.356240028570823,3.7522168180351505,0.0
4.927989878419666,6.632411303931635,0.0
6.003532897892024,3.5698586220393675,0.0
5.361636025047634,4.5599555133030165,0.0
4.354880245394876,5.130740577286091,0.0
5.361395605508414,6.441273289066116,0.0
6.538036566465969,3.5641378488205606,0.0
4.964173960890048,6.16316375215496,0.0
6.564643655814006,5.010233061019587,0.0
2.3802548959102556,4.018491348952049,0.0
5.821902504375224,5.46210347426327,0.0
5.087047068238172,5.19905969557347,0.0
4.7009926495341325,4.399783122841205,0.0
5.091760776535502,5.069802084990019,0.0
3.012431085399107,4.61468640313824,0.0
4.780328112162488,5.113517345251248,0.0
5.357112571511746,5.6621306745210465,0.0
6.477894044741516,6.586016816145352,0.0
4.481729781726353,3.762184501173151,0.0
4.191506397106813,7.133033374656266,0.0
4.498242956415464,3.047912200477498,0.0
5.915402117702074,4.848214904964417,0.0
5.3287511096596845,5.588317206484577,0.0
4.470239796232962,5.2809918677350325,0.0
5.513267433113356,4.377300480179406,0.0
5.0970775493480405,4.791877749642725,0.0
5.968644990532889,4.506999065341168,0.0
4.297946906122648,4.410635243055788,0.0
4.672337853402232,5.849602097021025,0.0
4.607891846867842,5.357015485965047,0.0
3.5364850518678814,4.307090404739346,0.0
5.296120277064576,5.899599875433251,0.0
5.261055272179889,5.307299520876609,0.0
5.005113456642461,5.81286211883896,0.0
4.765412866624853,5.629628841923612,0.0
3.5846292579495858,4.171004989077928,0.0
4.579354677234641,4.439818959803031,0.0
4.65728548347323,5.747293605123262,0.0
4.197722730778381,5.610370265433465,0.0
4.838714288333991,4.979098406035852,0.0
5.404050856814538,5.117327383308782,0.0
6.88618590121053,6.2776648957884245,0.0
5.174577812831839,4.40842861116417,0.0
5.2575503907227645,5.547097381170038,0.0
4.925554084233832,4.797807347566106,0.0
3.0812287847009587,4.782318796772779,0.0
4.973486124550783,6.09877685198719,0.0
5.060230209941026,5.82541634898803,0.0
7.463242112485286,5.813509636000639,0.0
4.807639035218878,6.305478807154329,0.0
5.301547342333612,5.021003841632759,0.0
4.965288230294757,5.6819529712949635,0.0
3.8313219623804677,4.689733243406544,0.0
6.1428228145150205,5.324166352488442,0.0
5.751933032686774,4.869856945632315,0.0
5.791031947043047,5.096995964992718,0.0
4.090612545205261,5.595157025436913,0.0
6.402794310936099,4.181779316766527,0.0
3.598148937207719,7.092387275685461,0.0
5.58685709380027,3.993982618500298,0.0
7.190455625809978,3.785811387212268,0.0
4.009463674869312,6.158110873500068,0.0
4.433702270397228,5.791662693962936,0.0
5.099651365087642,5.624119817052155,0.0
4.496524345883801,5.62834550926428,0.0
3.4493365689338673,4.987753227153085,0.0
5.068562974806027,4.102745628514168,0.0
3.937696286273895,5.075804558193727,0.0
5.473592430635182,4.322838288487889,0.0
4.080575765766197,5.975119733417751,0.0
6.54993440501754,4.8529426184978615,0.0
4.216746707663763,4.1745028032074885,0.0
4.677938483794325,4.678614158347006,0.0
5.81351721736967,5.412931454275625,0.0
3.769135683566045,4.436275447196025,0.0
5.22745993460413,4.177779604433568,0.0
6.307142754282428,5.243687211491912,0.0
3.3925167654387725,5.244966571108723,0.0
5.184633858532305,4.49305682462887,0.0
5.259882794248424,4.528961694381677,0.0
5.78182287177731,5.232049937357636,0.0
3.763049289121918,3.5519156585026757,0.0
3.6795433869157237,3.5925362256234448,0.0
5.521941565616897,4.281555778747564,0.0
5.296984673233186,4.786552848288153,0.0
5.250492850345877,5.310907565598004,0.0
5.346448209496976,6.475356216949552,0.0
4.319975278421509,5.85765962320202,0.0
5.232253697161004,4.840061470036573,0.0
5.293072473298682,4.9809837920973115,0.0
4.285648581973632,3.997470635362191,0.0
6.865774511144757,4.98148686400761,0.0
5.4738329209117875,4.711341361079862,0.0
3.8086965027973516,5.32271856033809,0.0
5.65655360863383,4.172769056447677,0.0
4.025318329772679,5.519346514241172,0.0
5.787084603742452,6.532738913002578,0.0
6.158595579007404,4.891239851543142,0.0
4.179317681648289,5.401711722098941,0.0
5.963376129244322,5.690143991711112,0.0
5.412780926936498,4.5987795281141635,0.0
5.82206015999449,5.224092481810417,0.0
6.896792982653947,5.012592400781795,0.0
4.754611883997129,5.097676098548832,0.0
4.246263835642511,4.226990216144533,0.0
4.110485570374477,5.024510174258943,0.0
4.184189715034561,5.49799829124545,0.0
4.922898290585896,6.451143607795042,0.0
5.341151974816644,5.9592708260852065,0.0
5.276690799330019,7.153182457511557,0.0
5.827183249036024,4.23265243711195,0.0
5.013001891877907,5.872320636720678,0.0
6.453534077157316,5.183342005738352,0.0
4.735343166762044,7.189802933217672,0.0
7.720169166589619,4.191701714644848,0.0
5.625667347765006,4.160278157819224,0.0
4.142842443583717,4.400607354555978,0.0
3.929107501938888,2.876104275690193,0.0
5.482472415243185,4.474244978319239,0.0
4.776537214674149,4.240867338446302,0.0
5.714000494092092,5.150393786476208,0.0
5.473237624573545,5.3417559757771595,0.0
4.927171087343127,6.876170839215886,0.0
4.153206281931595,5.95042383818605,0.0
3.4851527753141354,4.423096344337597,0.0
4.553485047932979,4.101585328651642,0.0
5.856398794323472,5.491919171506506,0.0
5.214093744130204,3.6797667929793576,0.0
3.754261221288012,6.831458765854354,0.0
5.173180925851182,6.179440120721287,0.0
5.3853173797288365,4.530824347895296,0.0
4.116142563798867,3.2868654709091225,0.0
5.153725105945528,6.353872374165412,0.0
5.058208718446,4.885460154747382,0.0
3.8570297021693767,6.237816311973462,0.0
0.4055723412056329,0.8167414873342249,1.0
1.4006249770462271,-0.03923217776010057,1.0
2.005243699718183,1.7305931655554423,1.0
2.046980593764742,2.717542255795962,1.0
1.5499345285207564,3.502357052096028,1.0
2.6228499323474987,2.074094780419775,1.0
0.9323795706174056,3.628615545571292,1.0
1.8576205149787066,0.6198985417851086,1.0
2.120295631711899,0.29661756064484535,1.0
2.514438834058749,1.9444523011033812,1.0
2.7116148780888896,2.384065448939307,1.0
0.8753579081621308,1.9673052519059069,1.0
0.4658858292643777,-0.0674421000398766,1.0
3.277676821898509,1.9108799604872115,1.0
2.3323140119795918,0.6955304994951468,1.0
1.2515134634434464,2.6696725488300386,1.0
3.551151975522523,2.3665982460968484,1.0
2.1156746342928585,1.0601202136726449,1.0
3.1792971840638264,1.4861330826633066,1.0
2.067518481410109,0.9407864781110484,1.0
4.060747924881987,1.937320902726828,1.0
3.7553408424432044,2.9551423205012384,1.0
1.7510358515209266,1.0142739536644563,1.0
2.9715709509543555,2.504046515517844,1.0
2.6453759495851474,1.4697423816275592,1.0
3.368631557532349,1.2071271677376558,1.0
1.0350765394198955,1.892969640045442,1.0
2.6860514599984393,0.9647576775806259,1.0
3.058424486849588,1.446350694652818,1.0
0.24126051357688572,0.8021221074111515,1.0
